AddressLine1,Birth Date,Color,Commute Distance,Date First Purchase,English Description,English Education,English Occupation,English Product Name,English Promotion Category,English Promotion Name,English Promotion Type,Marital Status,Model Name,OrderDate,Product Alternate Key,Product Line,Product Subcategory Key,ProductKey,ShipDate,Size,Size Range,Size Unit Measure Code,Spanish Education,Spanish Occupation,Spanish Product Name,Spanish Promotion Category,Spanish Promotion Name,Spanish Promotion Type,Start Date,StartDate (DimPromotion),Days To Manufacture,Dealer Price,Discount Pct,DiscountAmount,ExtendedAmount,Freight,List Price,Max Qty,Min Qty,Number Cars Owned,Number Children At Home,Número de registros,OrderQuantity,ProductStandardCost,Reorder Point,Safety Stock Level,SalesAmount,SalesOrderLineNumber,Standard Cost,TaxAmt,Total Children,TotalProductCost,UnitPrice,UnitPriceDiscountPct,Weight,Yearly Income
76 Woodcrest Dr.,9/06/1964,White,5-10 Miles,27/02/2011,Thin  lightweight and durable with cuffs that stay up.,Partial College,Professional,Racing Socks  M,Reseller,Volume Discount 11 to 14,Volume Discount,M,Racing Socks,8/05/2013 12:00:00 a.m.,SO-R809-M,R,23,481,15/05/2013 12:00:00 a.m.,M,M,,Estudios universitarios (en curso),Profesional,Calcetines para carreras  M,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,0,5.394,0.02,0,8.9900,0.2248,8.9900,14,11,4,3,1,1,3.3623,3,4,8.99,4,3.3623,0.7192,2,3.3623,8.99,0,,160000
1135 W St.,19/09/1966,Silver,0-1 Miles,4/03/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Bachelors,Manual,Mountain-200 Silver  38,Reseller,Volume Discount 11 to 14,Volume Discount,M,Mountain-200,1/01/2013 12:00:00 a.m.,BK-M68S-38,M,1,353,8/01/2013 12:00:00 a.m.,38,38-40 CM,CM,Licenciatura,Obrero,Montaña: 200  plateada  38,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,0,0,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,1,1265.6195,2319.99,0,23.35,10000
7289 Brookview Dr.,21/03/1967,Silver,0-1 Miles,9/03/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Bachelors,Manual,Mountain-200 Silver  38,Reseller,Volume Discount 11 to 14,Volume Discount,M,Mountain-200,19/01/2013 12:00:00 a.m.,BK-M68S-38,M,1,353,26/01/2013 12:00:00 a.m.,38,38-40 CM,CM,Licenciatura,Obrero,Montaña: 200  plateada  38,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,0,0,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,1,1265.6195,2319.99,0,23.35,10000
4185 Keywood Ct.,8/03/1966,Black,5-10 Miles,17/03/2011,"Entry level adult bike, offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.",High School,Professional,Road-750 Black  52,Reseller,Volume Discount 11 to 14,Volume Discount,M,Road-750,6/08/2013 12:00:00 a.m.,BK-R19B-52,R,2,606,13/08/2013 12:00:00 a.m.,52,48-52 CM,CM,Educación secundaria,Profesional,Carretera: 750  negra  52,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,323.994,0.02,0,539.9900,13.4998,539.9900,14,11,2,4,1,1,343.6496,75,100,539.99,1,343.6496,43.1992,3,343.6496,539.99,0,20.42,170000
2128 Birchbark Place,13/10/1964,White,0-1 Miles,10/04/2011,Thin  lightweight and durable with cuffs that stay up.,Partial College,Professional,Racing Socks  M,Reseller,Volume Discount 11 to 14,Volume Discount,S,Racing Socks,27/07/2013 12:00:00 a.m.,SO-R809-M,R,23,481,3/08/2013 12:00:00 a.m.,M,M,,Estudios universitarios (en curso),Profesional,Calcetines para carreras  M,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,0,5.394,0.02,0,8.9900,0.2248,8.9900,14,11,3,5,1,1,3.3623,3,4,8.99,2,3.3623,0.7192,0,3.3623,8.99,0,,130000
7514 Laguna St.,8/01/1972,Black,0-1 Miles,7/05/2011,Alluminum-alloy frame provides a light  stiff ride  whether you are racing in the velodrome or on a demanding club ride on country roads.,Graduate Degree,Clerical,Road-250 Black  44,Reseller,Volume Discount 11 to 14,Volume Discount,S,Road-250,25/09/2013 12:00:00 a.m.,BK-R89B-44,R,2,374,2/10/2013 12:00:00 a.m.,44,42-46 CM,CM,Estudios de postgrado,Administrativo,Carretera: 250  negra  44,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1466.010,0.02,0,2443.3500,61.0838,2443.3500,14,11,0,0,1,1,1554.9479,75,100,2443.35,1,1554.9479,195.4680,4,1554.9479,2443.35,0,14.77,30000
6228 RaceCourt,17/02/1968,Silver,0-1 Miles,1/06/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,High School,Professional,Mountain-200 Silver  46,Reseller,Volume Discount 11 to 14,Volume Discount,M,Mountain-200,3/12/2013 12:00:00 a.m.,BK-M68S-46,M,1,357,10/12/2013 12:00:00 a.m.,46,42-46 CM,CM,Educación secundaria,Profesional,Montaña: 200  plateada  46,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,3,4,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,2,1265.6195,2319.99,0,24.13,150000
7113 Eastgate Ave.,2/04/1950,Black,0-1 Miles,12/06/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Bachelors,Clerical,Mountain-200 Black  46,Reseller,Volume Discount 11 to 14,Volume Discount,S,Mountain-200,19/02/2013 12:00:00 a.m.,BK-M68B-46,M,1,363,26/02/2013 12:00:00 a.m.,46,42-46 CM,CM,Licenciatura,Administrativo,Montaña: 200  negra  46,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1376.994,0.02,0,2294.9900,57.3748,2294.9900,14,11,0,0,1,1,1251.9813,75,100,2294.99,1,1251.9813,183.5992,1,1251.9813,2294.99,0,24.13,20000
1883 Cowell Rd.,9/12/1946,White,0-1 Miles,12/06/2011,Thin  lightweight and durable with cuffs that stay up.,Bachelors,Clerical,Racing Socks  M,Reseller,Volume Discount 11 to 14,Volume Discount,S,Racing Socks,8/08/2013 12:00:00 a.m.,SO-R809-M,R,23,481,15/08/2013 12:00:00 a.m.,M,M,,Licenciatura,Administrativo,Calcetines para carreras  M,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,0,5.394,0.02,0,8.9900,0.2248,8.9900,14,11,0,0,1,1,3.3623,3,4,8.99,2,3.3623,0.7192,1,3.3623,8.99,0,,30000
4982 Norse Ct.,3/01/1981,Silver,1-2 Miles,17/06/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,High School,Manual,Mountain-200 Silver  38,Reseller,Volume Discount 11 to 14,Volume Discount,S,Mountain-200,26/11/2013 12:00:00 a.m.,BK-M68S-38,M,1,353,3/12/2013 12:00:00 a.m.,38,38-40 CM,CM,Educación secundaria,Obrero,Montaña: 200  plateada  38,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,1,0,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,0,1265.6195,2319.99,0,23.35,20000
2505 Maywood Ln.,5/08/1968,Black,0-1 Miles,27/06/2011,Full padding  improved finger flex  durable palm  adjustable closure.,Bachelors,Skilled Manual,Half-Finger Gloves  L,Reseller,Volume Discount 11 to 14,Volume Discount,M,Half-Finger Gloves,13/11/2013 12:00:00 a.m.,GL-H102-L,S,20,467,20/11/2013 12:00:00 a.m.,L,L,,Licenciatura,Obrero especializado,,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,0,14.694,0.02,0,24.4900,0.6123,24.4900,14,11,0,0,1,1,9.1593,3,4,24.49,4,9.1593,1.9592,1,9.1593,24.49,0,,40000
4188 Green Valley Road,12/08/1978,Silver,0-1 Miles,30/06/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Bachelors,Clerical,Mountain-200 Silver  38,Reseller,Volume Discount 11 to 14,Volume Discount,M,Mountain-200,28/10/2013 12:00:00 a.m.,BK-M68S-38,M,1,353,4/11/2013 12:00:00 a.m.,38,38-40 CM,CM,Licenciatura,Administrativo,Montaña: 200  plateada  38,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,0,0,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,0,1265.6195,2319.99,0,23.35,40000
1536 Camino Verde Ct.,24/01/1972,Silver,0-1 Miles,14/07/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,High School,Manual,Mountain-200 Silver  38,Reseller,Volume Discount 11 to 14,Volume Discount,S,Mountain-200,26/11/2013 12:00:00 a.m.,BK-M68S-38,M,1,353,3/12/2013 12:00:00 a.m.,38,38-40 CM,CM,Educación secundaria,Obrero,Montaña: 200  plateada  38,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,0,2,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,2,1265.6195,2319.99,0,23.35,20000
3477 Mt. Washington Way,15/04/1980,Blue,0-1 Miles,15/07/2011,The plush custom saddle keeps you riding all day   and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.,Graduate Degree,Clerical,Touring-2000 Blue  46,Reseller,Volume Discount 11 to 14,Volume Discount,S,Touring-2000,19/07/2013 12:00:00 a.m.,BK-T44U-46,T,3,577,26/07/2013 12:00:00 a.m.,46,42-46 CM,CM,Estudios de postgrado,Administrativo,Paseo: 2000  azul  46,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,728.910,0.02,0,1214.8500,30.3713,1214.8500,14,11,0,0,1,1,755.1508,75,100,1214.85,1,755.1508,97.1880,0,755.1508,1214.85,0,27.13,40000
5241 St. Andrews Way,12/10/1970,Silver,0-1 Miles,18/07/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Bachelors,Skilled Manual,Mountain-200 Silver  38,Reseller,Volume Discount 11 to 14,Volume Discount,M,Mountain-200,4/12/2013 12:00:00 a.m.,BK-M68S-38,M,1,353,11/12/2013 12:00:00 a.m.,38,38-40 CM,CM,Licenciatura,Obrero especializado,Montaña: 200  plateada  38,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,2,1,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,1,1265.6195,2319.99,0,23.35,30000
5074 Ulfinian Way,8/02/1967,Silver,0-1 Miles,19/07/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Graduate Degree,Clerical,Mountain-200 Silver  38,Reseller,Volume Discount 11 to 14,Volume Discount,M,Mountain-200,19/12/2013 12:00:00 a.m.,BK-M68S-38,M,1,353,26/12/2013 12:00:00 a.m.,38,38-40 CM,CM,Estudios de postgrado,Administrativo,Montaña: 200  plateada  38,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,0,0,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,3,1265.6195,2319.99,0,23.35,30000
6126 Virgil Street,17/12/1966,Silver,0-1 Miles,1/08/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Graduate Degree,Clerical,Mountain-200 Silver  46,Reseller,Volume Discount 11 to 14,Volume Discount,M,Mountain-200,1/12/2013 12:00:00 a.m.,BK-M68S-46,M,1,357,8/12/2013 12:00:00 a.m.,46,42-46 CM,CM,Estudios de postgrado,Administrativo,Montaña: 200  plateada  46,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,0,0,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,3,1265.6195,2319.99,0,24.13,30000
2291 Kreuger Drive,19/11/1960,Silver,0-1 Miles,4/08/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Partial College,Professional,Mountain-200 Silver  38,Reseller,Volume Discount 11 to 14,Volume Discount,S,Mountain-200,19/12/2013 12:00:00 a.m.,BK-M68S-38,M,1,353,26/12/2013 12:00:00 a.m.,38,38-40 CM,CM,Estudios universitarios (en curso),Profesional,Montaña: 200  plateada  38,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,3,4,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,3,1265.6195,2319.99,0,23.35,130000
8274 Gladstone Drive,15/12/1980,Silver,1-2 Miles,8/08/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Bachelors,Skilled Manual,Mountain-200 Silver  38,Reseller,Volume Discount 11 to 14,Volume Discount,M,Mountain-200,28/01/2013 12:00:00 a.m.,BK-M68S-38,M,1,353,4/02/2013 12:00:00 a.m.,38,38-40 CM,CM,Licenciatura,Obrero especializado,Montaña: 200  plateada  38,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,0,1,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,1,1265.6195,2319.99,0,23.35,40000
8185 Sol Street,29/02/1952,Black,5-10 Miles,22/08/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Bachelors,Management,Mountain-200 Black  46,Reseller,Volume Discount 11 to 14,Volume Discount,M,Mountain-200,3/02/2013 12:00:00 a.m.,BK-M68B-46,M,1,363,10/02/2013 12:00:00 a.m.,46,42-46 CM,CM,Licenciatura,Gestión,Montaña: 200  negra  46,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1376.994,0.02,0,2294.9900,57.3748,2294.9900,14,11,3,4,1,1,1251.9813,75,100,2294.99,1,1251.9813,183.5992,4,1251.9813,2294.99,0,24.13,170000
4771 Kenston Dr,7/08/1969,Yellow,0-1 Miles,5/10/2011,All-occasion value bike with our basic comfort and safety features. Offers wider  more stable tires for a ride around town or weekend trip.,Bachelors,Manual,Touring-3000 Yellow  62,Reseller,Volume Discount 11 to 14,Volume Discount,M,Touring-3000,7/09/2013 12:00:00 a.m.,BK-T18Y-62,T,3,572,14/09/2013 12:00:00 a.m.,62,60-62 CM,CM,Licenciatura,Obrero,Paseo: 3000  amarilla  62,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,445.410,0.02,0,742.3500,18.5588,742.3500,14,11,0,0,1,1,461.4448,75,100,742.35,1,461.4448,59.3880,1,461.4448,742.35,0,30.00,20000
7098 Walnut Blvd.,16/11/1978,Black,0-1 Miles,5/10/2011,Full padding  improved finger flex  durable palm  adjustable closure.,Graduate Degree,Skilled Manual,Half-Finger Gloves  L,Reseller,Volume Discount 11 to 14,Volume Discount,S,Half-Finger Gloves,7/12/2013 12:00:00 a.m.,GL-H102-L,S,20,467,14/12/2013 12:00:00 a.m.,L,L,,Estudios de postgrado,Obrero especializado,,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,0,14.694,0.02,0,24.4900,0.6123,24.4900,14,11,0,0,1,1,9.1593,3,4,24.49,5,9.1593,1.9592,0,9.1593,24.49,0,,50000
2775 Mt. Olivet Pl.,18/12/1965,Silver,0-1 Miles,5/11/2011,This bike delivers a high-level of performance on a budget. It is responsive and maneuverable  and offers peace-of-mind when you decide to go off-road.,Graduate Degree,Clerical,Mountain-400-W Silver  46,Reseller,Volume Discount 11 to 14,Volume Discount,M,Mountain-400-W,19/04/2013 12:00:00 a.m.,BK-M38S-46,M,1,590,26/04/2013 12:00:00 a.m.,46,42-46 CM,CM,Estudios de postgrado,Administrativo,Montaña: 400 para mujer  plateada  46,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,461.694,0.02,0,769.4900,19.2373,769.4900,14,11,0,0,1,1,419.7784,75,100,769.49,1,419.7784,61.5592,3,419.7784,769.49,0,27.42,30000
3327 Rockridge Dr.,20/04/1981,Silver,0-1 Miles,8/12/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Graduate Degree,Clerical,Mountain-200 Silver  38,Reseller,Volume Discount 11 to 14,Volume Discount,M,Mountain-200,15/12/2013 12:00:00 a.m.,BK-M68S-38,M,1,353,22/12/2013 12:00:00 a.m.,38,38-40 CM,CM,Estudios de postgrado,Administrativo,Montaña: 200  plateada  38,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,0,0,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,0,1265.6195,2319.99,0,23.35,40000
